"","year","state","total_pounds_SHARK, TOPE","total_pounds_SHARK, DOGFISH, SPINY","total_pounds_SHARK, BLUE","total_pounds_SHARK, LEOPARD","total_pounds_SHARK, MAKO, SHORTFIN","total_pounds_SHARK, THRESHER","total_pounds_SHARK, PACIFIC ANGEL","total_pounds_SHARK, WHITE","total_pounds_SHARK, THRESHER, BIGEYE","total_pounds_SHARK, DOGFISH, SMOOTH","total_pounds_SHARK, BLACKTIP","total_pounds_SHARK, MAKO, LONGFIN","total_pounds_SHARK, PORBEAGLE","total_pounds_SHARK, DUSKY","total_pounds_SHARK, SANDBAR","total_pounds_SHARK, SAND TIGER","total_pounds_SHARK, TIGER","total_pounds_SHARK, LEMON","total_pounds_SHARK, BULL","total_pounds_SHARK, NURSE","total_pounds_SHARK, SHARPNOSE, ATLANTIC","total_pounds_SHARK, WHITETIP, OCEANIC","total_pounds_SHARK, BIGNOSE","total_pounds_SHARK, SPINNER","total_pounds_SHARK, BLACKNOSE","total_pounds_SHARK, SILKY","total_pounds_SHARK, ANGEL, ATLANTIC","total_pounds_SHARK, BONNETHEAD","total_pounds_SHARK, NIGHT","total_pounds_SHARK, FINETOOTH","total_pounds_SHARK, HAMMERHEAD, SMOOTH","total_pounds_SHARK, BROWN CAT","total_pounds_SHARK, HAMMERHEAD, SCALLOPED","total_pounds_SHARK, HAMMERHEAD, GREAT","total_dollars_SHARK, TOPE","total_dollars_SHARK, DOGFISH, SPINY","total_dollars_SHARK, BLUE","total_dollars_SHARK, LEOPARD","total_dollars_SHARK, MAKO, SHORTFIN","total_dollars_SHARK, THRESHER","total_dollars_SHARK, PACIFIC ANGEL","total_dollars_SHARK, WHITE","total_dollars_SHARK, THRESHER, BIGEYE","total_dollars_SHARK, DOGFISH, SMOOTH","total_dollars_SHARK, BLACKTIP","total_dollars_SHARK, MAKO, LONGFIN","total_dollars_SHARK, PORBEAGLE","total_dollars_SHARK, DUSKY","total_dollars_SHARK, SANDBAR","total_dollars_SHARK, SAND TIGER","total_dollars_SHARK, TIGER","total_dollars_SHARK, LEMON","total_dollars_SHARK, BULL","total_dollars_SHARK, NURSE","total_dollars_SHARK, SHARPNOSE, ATLANTIC","total_dollars_SHARK, WHITETIP, OCEANIC","total_dollars_SHARK, BIGNOSE","total_dollars_SHARK, SPINNER","total_dollars_SHARK, BLACKNOSE","total_dollars_SHARK, SILKY","total_dollars_SHARK, ANGEL, ATLANTIC","total_dollars_SHARK, BONNETHEAD","total_dollars_SHARK, NIGHT","total_dollars_SHARK, FINETOOTH","total_dollars_SHARK, HAMMERHEAD, SMOOTH","total_dollars_SHARK, BROWN CAT","total_dollars_SHARK, HAMMERHEAD, SCALLOPED","total_dollars_SHARK, HAMMERHEAD, GREAT"
"204",1992,"VIRGINIA",NA,226931,NA,NA,7482,24422,NA,183,NA,7224,13848,1035,295,58951,25518,9228,1488,NA,56,NA,NA,NA,14455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18512,NA,NA,9686,8219,NA,231,NA,3037,5832,1017,137,16564,7245,2488,382,NA,106,NA,NA,NA,4160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",1992,"WASHINGTON",658,4338248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,577918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",1993,"ALASKA",NA,17352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",1993,"CALIFORNIA",81752,6230,597,52253,268716,606258,133312,NA,96133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58664,1589,461,36191,221152,457490,43804,NA,28191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",1993,"CONNECTICUT",NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",1993,"FLORIDA-EAST",NA,NA,NA,NA,9128,1750,NA,NA,NA,NA,109387,NA,NA,4103,226602,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9606,1229,NA,NA,NA,NA,44476,NA,NA,1461,70962,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",1993,"FLORIDA-WEST",NA,NA,NA,NA,19050,2089,NA,NA,NA,NA,10039,NA,NA,1458,578447,NA,382,862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19767,813,NA,NA,NA,NA,3830,NA,NA,525,190862,NA,167,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",1993,"LOUISIANA",NA,NA,NA,NA,50911,1524,NA,NA,NA,NA,218600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41412,435,NA,NA,NA,NA,51820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",1993,"MAINE",NA,3441034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",1993,"MARYLAND",NA,1791567,71,NA,15273,2092,NA,NA,NA,NA,1045,6,NA,183,17635,334,NA,NA,NA,NA,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186490,26,NA,19295,780,NA,NA,NA,NA,374,3,NA,53,8410,48,NA,NA,NA,NA,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",1993,"MASSACHUSETTS",NA,NA,NA,NA,97105,1090,NA,NA,NA,NA,NA,NA,2537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87233,775,NA,NA,NA,NA,NA,NA,1714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",1993,"NEW HAMPSHIRE",NA,1641614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",1993,"NEW JERSEY",NA,313094,5918,NA,NA,15014,NA,NA,NA,310518,80311,382,264,44189,16126,1218,1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35969,1097,NA,NA,7088,NA,NA,NA,111405,32849,83,73,21054,14573,394,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",1993,"NEW YORK",NA,630,NA,NA,39744,654,NA,NA,NA,NA,225,345,117,NA,21823,1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,47144,219,NA,NA,NA,NA,49,132,136,NA,4833,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",1993,"NORTH CAROLINA",NA,NA,NA,NA,333043,16112,NA,NA,NA,NA,164215,NA,NA,27883,60210,7263,11953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58345,4359,NA,NA,NA,NA,114698,NA,NA,11145,16276,2562,3430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",1993,"OREGON",4051,56690,212,NA,NA,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247,7227,116,NA,NA,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",1993,"RHODE ISLAND",NA,795241,408,NA,2450,584,NA,NA,NA,4738,NA,301,3483,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83518,89,NA,2833,328,NA,NA,NA,980,NA,273,1624,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",1993,"SOUTH CAROLINA",NA,NA,NA,NA,12277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",1993,"VIRGINIA",NA,991686,3762,NA,9073,7085,NA,NA,NA,229587,1662,NA,NA,6523,14396,8369,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83221,676,NA,12261,3127,NA,NA,NA,33927,364,NA,NA,1685,5720,1704,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",1993,"WASHINGTON",1013,4378877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533,559561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",1994,"ALASKA",NA,1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",1994,"CALIFORNIA",118022,1216,26835,23621,281908,726782,46394,NA,81507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71447,260,15972,14171,246974,584227,14606,NA,33482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",1994,"FLORIDA-EAST",NA,NA,NA,NA,9504,3196,NA,NA,NA,NA,179371,NA,NA,31841,280426,506,10782,NA,NA,NA,19104,NA,NA,NA,7761,12548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,2831,NA,NA,NA,NA,108347,NA,NA,11891,107252,192,4283,NA,NA,NA,2441,NA,NA,NA,1531,4321,NA,NA,NA,NA,NA,NA,NA,NA
"227",1994,"FLORIDA-WEST",NA,NA,NA,NA,8755,3366,NA,NA,NA,NA,45494,NA,NA,8487,1113856,NA,1125,1524,2698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8824,1464,NA,NA,NA,NA,37617,NA,NA,2972,430634,NA,400,539,1278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",1994,"LOUISIANA",NA,NA,NA,NA,24576,NA,NA,NA,NA,NA,225682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20380,NA,NA,NA,NA,NA,67937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",1994,"MAINE",NA,1772553,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259685,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",1994,"MARYLAND",NA,NA,NA,NA,2538,3372,NA,NA,NA,NA,31,7053,NA,269,19476,129,805,NA,260,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3027,1426,NA,NA,NA,NA,8,8276,NA,98,7349,9,161,NA,37,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA
"231",1994,"MASSACHUSETTS",NA,23108549,NA,NA,87011,1529,NA,NA,NA,12795,NA,NA,1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3375092,NA,NA,61230,465,NA,NA,NA,4220,NA,NA,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",1994,"NEW HAMPSHIRE",NA,2597792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",1994,"NEW JERSEY",NA,472628,NA,NA,827,32830,NA,96,NA,112406,8755,3350,1569,30728,26945,2502,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59573,NA,NA,1033,14918,NA,39,NA,34484,3407,1572,831,13944,11679,792,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",1994,"NEW YORK",NA,NA,NA,NA,40463,1758,NA,NA,NA,68,NA,763,685,8106,2267,25,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44659,1223,NA,NA,NA,29,NA,578,569,3709,1141,27,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",1994,"NORTH CAROLINA",NA,1234931,NA,NA,49392,16121,NA,NA,NA,8642729,63812,NA,NA,30107,235905,4378,18456,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,NA,NA,NA,NA,NA,NA,NA,NA,147854,NA,NA,48282,3673,NA,NA,NA,865836,19137,NA,NA,6811,53244,765,4155,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,NA,NA,NA,NA,NA,NA
"236",1994,"OREGON",2451,87899,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1726,11993,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",1994,"RHODE ISLAND",NA,336571,369,NA,1134,389,NA,NA,NA,4848,NA,NA,1543,NA,NA,NA,2033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42261,74,NA,1118,179,NA,NA,NA,725,NA,NA,915,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",1994,"SOUTH CAROLINA",NA,NA,NA,NA,5547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",1994,"TEXAS",NA,NA,NA,NA,4611,NA,NA,NA,NA,NA,75279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4221,NA,NA,NA,NA,NA,30617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",1994,"VIRGINIA",NA,308821,NA,NA,13227,10676,NA,NA,NA,300921,6376,184,NA,9216,6154,8727,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30530,NA,NA,17030,3827,NA,NA,NA,71822,3630,225,NA,2784,2338,6023,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",1994,"WASHINGTON",633,4997422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,699703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",1995,"ALASKA",NA,27317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",1995,"CALIFORNIA",93944,2109,10846,21732,210231,592648,39376,NA,68037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55025,1411,2603,16445,165220,469501,12606,NA,24897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",1995,"CONNECTICUT",NA,281825,NA,NA,NA,NA,NA,NA,NA,743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16910,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",1995,"DELAWARE",NA,62900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",1995,"FLORIDA-EAST",NA,NA,NA,NA,12037,3195,NA,NA,NA,NA,197370,NA,NA,17974,364906,NA,8535,1209,6627,NA,6697,NA,NA,NA,13483,19912,NA,162447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12882,1423,NA,NA,NA,NA,80811,NA,NA,6310,144989,NA,3306,432,3069,NA,2441,NA,NA,NA,5367,7942,NA,49823,NA,NA,NA,NA,NA,NA
"247",1995,"FLORIDA-WEST",NA,NA,NA,NA,21639,5135,NA,NA,NA,NA,45920,NA,NA,32350,1430388,NA,614,12044,7758,NA,NA,NA,NA,NA,31923,NA,NA,48254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22735,2639,NA,NA,NA,NA,16960,NA,NA,10779,471372,NA,176,3007,2321,NA,NA,NA,NA,NA,10386,NA,NA,11654,NA,NA,NA,NA,NA,NA
"248",1995,"LOUISIANA",NA,NA,NA,NA,57397,2446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53392,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",1995,"MAINE",NA,1451876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",1995,"MARYLAND",NA,3107452,NA,NA,703,2947,NA,NA,NA,79764,55119,NA,231,6579,28373,156,25,NA,NA,NA,NA,NA,NA,NA,NA,2156,NA,NA,NA,NA,NA,NA,NA,NA,NA,870515,NA,NA,983,1396,NA,NA,NA,37819,30366,NA,83,4119,11713,28,7,NA,NA,NA,NA,NA,NA,NA,NA,489,NA,NA,NA,NA,NA,NA,NA,NA
"251",1995,"MASSACHUSETTS",NA,27790819,246,NA,119377,791,NA,NA,NA,45,NA,NA,5738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,NA,5278555,221,NA,94604,289,NA,NA,NA,99,NA,NA,3335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA
"252",1995,"NEW HAMPSHIRE",NA,2106255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",1995,"NEW JERSEY",NA,674173,376,NA,3461,37410,NA,991,NA,139237,1860,2134,731,25269,61313,18309,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,135700,56,NA,4010,24963,NA,543,NA,53744,914,763,559,11023,20307,5329,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA
"254",1995,"NEW YORK",NA,NA,NA,NA,14480,3136,NA,NA,NA,130,15,925,1239,1505,2319,154,86,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16327,1824,NA,NA,NA,27,8,579,1414,912,861,170,31,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",1995,"NORTH CAROLINA",NA,7174803,NA,NA,99224,109565,NA,NA,NA,2182799,150248,NA,NA,86749,818774,1598,9700,715,NA,NA,NA,NA,NA,NA,NA,NA,2268,NA,NA,NA,NA,NA,NA,NA,NA,1147967,NA,NA,85059,33073,NA,NA,NA,405123,34604,NA,NA,17583,196743,319,2448,144,NA,NA,NA,NA,NA,NA,NA,NA,457,NA,NA,NA,NA,NA,NA,NA
"256",1995,"OREGON",2203,87887,320,NA,NA,1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1434,11449,180,NA,NA,1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",1995,"RHODE ISLAND",NA,109125,NA,NA,2304,385,NA,NA,NA,NA,NA,418,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18101,NA,NA,2260,480,NA,NA,NA,NA,NA,483,1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",1995,"SOUTH CAROLINA",NA,NA,NA,NA,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",1995,"TEXAS",NA,NA,NA,NA,10099,NA,NA,NA,NA,NA,93252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248,NA,NA,NA,NA,NA,35258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",1995,"VIRGINIA",NA,230871,NA,NA,NA,NA,NA,NA,NA,293613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25383,NA,NA,NA,NA,NA,NA,NA,54071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",1995,"WASHINGTON",438,2717993,NA,NA,NA,10693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,370000,NA,NA,NA,15463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
