"","year","state","total_pounds_SHARK, TOPE","total_pounds_SHARK, DOGFISH, SPINY","total_pounds_SHARK, BLUE","total_pounds_SHARK, LEOPARD","total_pounds_SHARK, MAKO, SHORTFIN","total_pounds_SHARK, THRESHER","total_pounds_SHARK, PACIFIC ANGEL","total_pounds_SHARK, WHITE","total_pounds_SHARK, THRESHER, BIGEYE","total_pounds_SHARK, DOGFISH, SMOOTH","total_pounds_SHARK, BLACKTIP","total_pounds_SHARK, MAKO, LONGFIN","total_pounds_SHARK, PORBEAGLE","total_pounds_SHARK, DUSKY","total_pounds_SHARK, SANDBAR","total_pounds_SHARK, SAND TIGER","total_pounds_SHARK, TIGER","total_pounds_SHARK, LEMON","total_pounds_SHARK, BULL","total_pounds_SHARK, NURSE","total_pounds_SHARK, SHARPNOSE, ATLANTIC","total_pounds_SHARK, WHITETIP, OCEANIC","total_pounds_SHARK, BIGNOSE","total_pounds_SHARK, SPINNER","total_pounds_SHARK, BLACKNOSE","total_pounds_SHARK, SILKY","total_pounds_SHARK, ANGEL, ATLANTIC","total_pounds_SHARK, BONNETHEAD","total_pounds_SHARK, NIGHT","total_pounds_SHARK, FINETOOTH","total_pounds_SHARK, HAMMERHEAD, SMOOTH","total_pounds_SHARK, BROWN CAT","total_pounds_SHARK, HAMMERHEAD, SCALLOPED","total_pounds_SHARK, HAMMERHEAD, GREAT","total_dollars_SHARK, TOPE","total_dollars_SHARK, DOGFISH, SPINY","total_dollars_SHARK, BLUE","total_dollars_SHARK, LEOPARD","total_dollars_SHARK, MAKO, SHORTFIN","total_dollars_SHARK, THRESHER","total_dollars_SHARK, PACIFIC ANGEL","total_dollars_SHARK, WHITE","total_dollars_SHARK, THRESHER, BIGEYE","total_dollars_SHARK, DOGFISH, SMOOTH","total_dollars_SHARK, BLACKTIP","total_dollars_SHARK, MAKO, LONGFIN","total_dollars_SHARK, PORBEAGLE","total_dollars_SHARK, DUSKY","total_dollars_SHARK, SANDBAR","total_dollars_SHARK, SAND TIGER","total_dollars_SHARK, TIGER","total_dollars_SHARK, LEMON","total_dollars_SHARK, BULL","total_dollars_SHARK, NURSE","total_dollars_SHARK, SHARPNOSE, ATLANTIC","total_dollars_SHARK, WHITETIP, OCEANIC","total_dollars_SHARK, BIGNOSE","total_dollars_SHARK, SPINNER","total_dollars_SHARK, BLACKNOSE","total_dollars_SHARK, SILKY","total_dollars_SHARK, ANGEL, ATLANTIC","total_dollars_SHARK, BONNETHEAD","total_dollars_SHARK, NIGHT","total_dollars_SHARK, FINETOOTH","total_dollars_SHARK, HAMMERHEAD, SMOOTH","total_dollars_SHARK, BROWN CAT","total_dollars_SHARK, HAMMERHEAD, SCALLOPED","total_dollars_SHARK, HAMMERHEAD, GREAT"
"565",2011,"MARYLAND",NA,1109141,NA,NA,NA,NA,NA,NA,NA,363457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260479,NA,NA,NA,NA,NA,NA,NA,220530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566",2011,"MASSACHUSETTS",NA,9068787,NA,NA,34402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931704,NA,NA,47422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567",2011,"NEW HAMPSHIRE",NA,1646108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568",2011,"NEW JERSEY",NA,1987456,NA,NA,41772,16058,NA,NA,NA,732487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454163,NA,NA,54760,12890,NA,NA,NA,341557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",2011,"NEW YORK",NA,460681,NA,NA,18594,1679,NA,NA,NA,267230,NA,NA,NA,NA,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111973,NA,NA,25156,1054,NA,NA,NA,141187,NA,NA,NA,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",2011,"NORTH CAROLINA",NA,2557923,21462,NA,177164,46560,NA,NA,NA,1241252,57480,NA,NA,NA,NA,NA,NA,NA,8404,NA,122842,NA,NA,7624,2338,NA,NA,NA,NA,10528,NA,NA,NA,NA,NA,383688,2049,NA,152673,14948,NA,NA,NA,402916,17888,NA,NA,NA,NA,NA,NA,NA,1471,NA,41931,NA,NA,1955,626,NA,NA,NA,NA,3332,NA,NA,NA,NA
"571",2011,"OREGON",1090,428432,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7627,NA,NA,44,45756,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"572",2011,"PROCESS AT SEA",NA,641475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573",2011,"RHODE ISLAND",NA,1265072,NA,NA,NA,NA,NA,NA,NA,21874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252634,NA,NA,NA,NA,NA,NA,NA,6195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574",2011,"SOUTH CAROLINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36824,NA,NA,NA,NA,NA,NA,10115,11463,NA,17644,NA,NA,NA,2634,NA,NA,283,NA,3758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24263,NA,NA,NA,NA,NA,NA,4095,4319,NA,27687,NA,NA,NA,3583,NA,NA,336,NA,4766,NA,NA,NA,NA
"575",2011,"VIRGINIA",NA,2941008,NA,NA,NA,9699,NA,NA,NA,281561,24263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690636,NA,NA,NA,4387,NA,NA,NA,148812,11454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576",2011,"WASHINGTON",NA,471683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577",2012,"ALABAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9281,NA,NA,NA,NA,NA,NA,NA,5889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3648,NA,NA,NA,NA,NA,NA,NA,1776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578",2012,"CALIFORNIA",2953,2081,NA,6461,59497,146069,22884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2381,539,NA,5569,52361,113199,14220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579",2012,"CONNECTICUT",NA,97312,NA,NA,NA,NA,NA,NA,NA,2759,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19859,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580",2012,"FLORIDA-EAST",NA,NA,NA,NA,24538,NA,NA,NA,NA,NA,125164,NA,NA,NA,NA,NA,22127,16074,24767,NA,264416,NA,NA,NA,44053,NA,NA,26036,NA,10817,NA,NA,18922,NA,NA,NA,NA,NA,34506,NA,NA,NA,NA,NA,71879,NA,NA,NA,NA,NA,8580,6702,10769,NA,114439,NA,NA,NA,26899,NA,NA,12125,NA,6308,NA,NA,6592,NA
"581",2012,"FLORIDA-WEST",NA,NA,NA,NA,11363,NA,NA,NA,NA,NA,41836,NA,NA,NA,32687,NA,32554,34871,50744,NA,NA,NA,NA,NA,5027,NA,NA,NA,NA,NA,NA,NA,40391,NA,NA,NA,NA,NA,12815,NA,NA,NA,NA,NA,12342,NA,NA,NA,10827,NA,9539,9135,12755,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,13576,NA
"582",2012,"HAWAII",NA,NA,NA,NA,123621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583",2012,"LOUISIANA",NA,NA,NA,NA,12006,NA,NA,NA,NA,NA,493128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8815,NA,NA,NA,NA,NA,307411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
