"","year","state","nmfs_name","total_pounds","total_dollars","region"
"88",1982,"CALIFORNIA","SHARK, LEOPARD",74574,36926,"Pacific Coast"
"89",1982,"CALIFORNIA","SHARK, MAKO, SHORTFIN",774068,339207,"Pacific Coast"
"90",1982,"CALIFORNIA","SHARK, PACIFIC ANGEL",637920,106698,"Pacific Coast"
"91",1982,"CALIFORNIA","SHARK, THRESHER",4075194,1980598,"Pacific Coast"
"92",1982,"CALIFORNIA","SHARK, THRESHER, BIGEYE",61658,15168,"Pacific Coast"
"93",1982,"CALIFORNIA","SHARK, TOPE",276377,159868,"Pacific Coast"
"94",1982,"MAINE","SHARK, DOGFISH, SPINY",443400,61300,"New England"
"95",1982,"MARYLAND","SHARK, DOGFISH, SPINY",1972200,148735,"Middle Atlantic"
"96",1982,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",56200,8460,"New England"
"97",1982,"NEW JERSEY","SHARK, DOGFISH, SPINY",2500,214,"Middle Atlantic"
"98",1982,"OREGON","SHARK, DOGFISH, SPINY",2090,202,"Pacific Coast"
"99",1982,"OREGON","SHARK, TOPE",11081,4312,"Pacific Coast"
"100",1982,"VIRGINIA","SHARK, DOGFISH, SMOOTH",7500,1263,"Middle Atlantic"
"101",1982,"VIRGINIA","SHARK, DOGFISH, SPINY",2811700,227738,"Middle Atlantic"
"102",1982,"WASHINGTON","SHARK, BLUE",125,63,"Pacific Coast"
"103",1982,"WASHINGTON","SHARK, DOGFISH, SPINY",4579303,443396,"Pacific Coast"
"104",1982,"WASHINGTON","SHARK, TOPE",475,189,"Pacific Coast"
"105",1983,"ALASKA","SHARK, DOGFISH, SPINY",12615,1009,"Alaska"
"106",1983,"CALIFORNIA","SHARK, BLUE",15526,4520,"Pacific Coast"
"107",1983,"CALIFORNIA","SHARK, DOGFISH, SPINY",54704,8028,"Pacific Coast"
"108",1983,"CALIFORNIA","SHARK, LEOPARD",106299,42007,"Pacific Coast"
"109",1983,"CALIFORNIA","SHARK, MAKO, SHORTFIN",478878,229826,"Pacific Coast"
"110",1983,"CALIFORNIA","SHARK, PACIFIC ANGEL",720646,106073,"Pacific Coast"
"111",1983,"CALIFORNIA","SHARK, THRESHER",2954118,1482665,"Pacific Coast"
"112",1983,"CALIFORNIA","SHARK, THRESHER, BIGEYE",211752,91455,"Pacific Coast"
"113",1983,"CALIFORNIA","SHARK, TOPE",195646,120513,"Pacific Coast"
"114",1983,"MAINE","SHARK, DOGFISH, SPINY",490600,18655,"New England"
"115",1983,"MARYLAND","SHARK, DOGFISH, SMOOTH",10100,3291,"Middle Atlantic"
"116",1983,"MARYLAND","SHARK, DOGFISH, SPINY",212700,15944,"Middle Atlantic"
"117",1983,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",6700,659,"New England"
"118",1983,"NEW HAMPSHIRE","SHARK, DOGFISH, SPINY",700,67,"New England"
"119",1983,"OREGON","SHARK, DOGFISH, SPINY",2579,228,"Pacific Coast"
"120",1983,"OREGON","SHARK, TOPE",13905,6558,"Pacific Coast"
"121",1983,"RHODE ISLAND","SHARK, DOGFISH, SMOOTH",300,321,"New England"
"122",1983,"VIRGINIA","SHARK, DOGFISH, SMOOTH",14400,2360,"Middle Atlantic"
"123",1983,"VIRGINIA","SHARK, DOGFISH, SPINY",14800,1072,"Middle Atlantic"
"124",1983,"WASHINGTON","SHARK, BLUE",212,128,"Pacific Coast"
"125",1983,"WASHINGTON","SHARK, DOGFISH, SPINY",3915914,365247,"Pacific Coast"
"126",1983,"WASHINGTON","SHARK, TOPE",1971,1102,"Pacific Coast"
"127",1984,"ALASKA","SHARK, DOGFISH, SPINY",56,9,"Alaska"
"128",1984,"CALIFORNIA","SHARK, BLUE",3950,2464,"Pacific Coast"
"129",1984,"CALIFORNIA","SHARK, DOGFISH, SPINY",17181,14200,"Pacific Coast"
"130",1984,"CALIFORNIA","SHARK, LEOPARD",71369,38620,"Pacific Coast"
"131",1984,"CALIFORNIA","SHARK, MAKO, SHORTFIN",352101,189794,"Pacific Coast"
"132",1984,"CALIFORNIA","SHARK, PACIFIC ANGEL",1266546,232435,"Pacific Coast"
"133",1984,"CALIFORNIA","SHARK, THRESHER",2840143,1649902,"Pacific Coast"
"134",1984,"CALIFORNIA","SHARK, THRESHER, BIGEYE",126491,47118,"Pacific Coast"
"135",1984,"CALIFORNIA","SHARK, TOPE",286373,213424,"Pacific Coast"
"136",1984,"MAINE","SHARK, DOGFISH, SPINY",1246500,84529,"New England"
"137",1984,"MARYLAND","SHARK, DOGFISH, SPINY",259200,20493,"Middle Atlantic"
"138",1984,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",109500,8522,"New England"
"139",1984,"NEW HAMPSHIRE","SHARK, DOGFISH, SPINY",200,9,"New England"
"140",1984,"NEW JERSEY","SHARK, DOGFISH, SPINY",700,53,"Middle Atlantic"
"141",1984,"NEW YORK","SHARK, BLUE",600,900,"Great Lakes"
"142",1984,"OREGON","SHARK, DOGFISH, SPINY",873,434,"Pacific Coast"
"143",1984,"OREGON","SHARK, TOPE",7784,4468,"Pacific Coast"
"144",1984,"RHODE ISLAND","SHARK, DOGFISH, SPINY",2300,28,"New England"
"145",1984,"VIRGINIA","SHARK, DOGFISH, SMOOTH",1300,446,"Middle Atlantic"
"146",1984,"VIRGINIA","SHARK, DOGFISH, SPINY",100,7,"Middle Atlantic"
"147",1984,"WASHINGTON","SHARK, DOGFISH, SPINY",4052456,370300,"Pacific Coast"
"148",1984,"WASHINGTON","SHARK, TOPE",4105,2068,"Pacific Coast"
"149",1985,"ALASKA","SHARK, DOGFISH, SPINY",46,7,"Alaska"
"150",1985,"CALIFORNIA","SHARK, BLUE",2356,2007,"Pacific Coast"
"151",1985,"CALIFORNIA","SHARK, DOGFISH, SPINY",1002,392,"Pacific Coast"
"152",1985,"CALIFORNIA","SHARK, LEOPARD",72006,47422,"Pacific Coast"
"153",1985,"CALIFORNIA","SHARK, MAKO, SHORTFIN",327748,192132,"Pacific Coast"
"154",1985,"CALIFORNIA","SHARK, PACIFIC ANGEL",2496974,576344,"Pacific Coast"
"155",1985,"CALIFORNIA","SHARK, THRESHER",2620449,1815761,"Pacific Coast"
"156",1985,"CALIFORNIA","SHARK, THRESHER, BIGEYE",209026,96434,"Pacific Coast"
"157",1985,"CALIFORNIA","SHARK, TOPE",281267,212990,"Pacific Coast"
"158",1985,"MAINE","SHARK, DOGFISH, SPINY",903200,57594,"New England"
"159",1985,"MARYLAND","SHARK, DOGFISH, SMOOTH",800,310,"Middle Atlantic"
"160",1985,"MARYLAND","SHARK, DOGFISH, SPINY",155900,12634,"Middle Atlantic"
"161",1985,"MASSACHUSETTS","SHARK, DOGFISH, SMOOTH",5700,619,"New England"
"162",1985,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",340700,35338,"New England"
"163",1985,"NEW YORK","SHARK, BLUE",600,675,"Great Lakes"
"164",1985,"NEW YORK","SHARK, MAKO, SHORTFIN",38800,60946,"Great Lakes"
"165",1985,"NEW YORK","SHARK, THRESHER",500,256,"Great Lakes"
"166",1985,"OREGON","SHARK, DOGFISH, SPINY",284,21,"Pacific Coast"
"167",1985,"OREGON","SHARK, THRESHER",4184,2092,"Pacific Coast"
"168",1985,"OREGON","SHARK, TOPE",9087,4644,"Pacific Coast"
"169",1985,"VIRGINIA","SHARK, DOGFISH, SMOOTH",1300,271,"Middle Atlantic"
"170",1985,"WASHINGTON","SHARK, BLUE",201,125,"Pacific Coast"
"171",1985,"WASHINGTON","SHARK, DOGFISH, SPINY",2814385,230333,"Pacific Coast"
"172",1985,"WASHINGTON","SHARK, TOPE",4342,2066,"Pacific Coast"
"173",1986,"ALASKA","SHARK, DOGFISH, SPINY",688,48,"Alaska"
"174",1986,"CALIFORNIA","SHARK, BLUE",3316,1202,"Pacific Coast"
"175",1986,"CALIFORNIA","SHARK, DOGFISH, SPINY",9557,1265,"Pacific Coast"
"176",1986,"CALIFORNIA","SHARK, LEOPARD",75493,50942,"Pacific Coast"
"177",1986,"CALIFORNIA","SHARK, MAKO, SHORTFIN",686845,428262,"Pacific Coast"
"178",1986,"CALIFORNIA","SHARK, PACIFIC ANGEL",2483172,608952,"Pacific Coast"
"179",1986,"CALIFORNIA","SHARK, THRESHER",1031244,865338,"Pacific Coast"
"180",1986,"CALIFORNIA","SHARK, THRESHER, BIGEYE",106662,66650,"Pacific Coast"
"181",1986,"CALIFORNIA","SHARK, TOPE",216451,173142,"Pacific Coast"
"182",1986,"MAINE","SHARK, DOGFISH, SPINY",769500,42309,"New England"
"183",1986,"MARYLAND","SHARK, DOGFISH, SMOOTH",200,51,"Middle Atlantic"
"184",1986,"MARYLAND","SHARK, DOGFISH, SPINY",115100,8790,"Middle Atlantic"
"185",1986,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",1938000,97349,"New England"
"186",1986,"NEW JERSEY","SHARK, DOGFISH, SPINY",2000,245,"Middle Atlantic"
"187",1986,"NEW YORK","SHARK, DOGFISH, SPINY",134500,8623,"Great Lakes"
"188",1986,"NEW YORK","SHARK, THRESHER",2300,1682,"Great Lakes"
"189",1986,"OREGON","SHARK, DOGFISH, SPINY",363,249,"Pacific Coast"
"190",1986,"OREGON","SHARK, THRESHER",935100,612658,"Pacific Coast"
"191",1986,"OREGON","SHARK, TOPE",7161,5139,"Pacific Coast"
"192",1986,"VIRGINIA","SHARK, DOGFISH, SMOOTH",4700,228,"Middle Atlantic"
"193",1986,"VIRGINIA","SHARK, DOGFISH, SPINY",500,68,"Middle Atlantic"
"194",1986,"WASHINGTON","SHARK, BLUE",238,120,"Pacific Coast"
"195",1986,"WASHINGTON","SHARK, DOGFISH, SPINY",1911711,177493,"Pacific Coast"
"196",1986,"WASHINGTON","SHARK, THRESHER",181282,212489,"Pacific Coast"
"197",1986,"WASHINGTON","SHARK, TOPE",3255,1767,"Pacific Coast"
"198",1987,"ALABAMA","SHARK, BLACKTIP",945,427,"Gulf"
"199",1987,"ALABAMA","SHARK, MAKO, SHORTFIN",2256,1583,"Gulf"
"200",1987,"ALASKA","SHARK, DOGFISH, SPINY",72761,6542,"Alaska"
"201",1987,"CALIFORNIA","SHARK, BLUE",3410,1435,"Pacific Coast"
"202",1987,"CALIFORNIA","SHARK, DOGFISH, SPINY",53992,5246,"Pacific Coast"
"203",1987,"CALIFORNIA","SHARK, LEOPARD",55976,39089,"Pacific Coast"
"204",1987,"CALIFORNIA","SHARK, MAKO, SHORTFIN",887488,715141,"Pacific Coast"
"205",1987,"CALIFORNIA","SHARK, PACIFIC ANGEL",1880374,542281,"Pacific Coast"
"206",1987,"CALIFORNIA","SHARK, THRESHER",896578,814782,"Pacific Coast"
"207",1987,"CALIFORNIA","SHARK, THRESHER, BIGEYE",43018,22123,"Pacific Coast"
"208",1987,"CALIFORNIA","SHARK, TOPE",202839,172836,"Pacific Coast"
"209",1987,"CONNECTICUT","SHARK, MAKO, SHORTFIN",10000,12500,"New England"
"210",1987,"LOUISIANA","SHARK, BLACKTIP",8649,3254,"Gulf"
"211",1987,"LOUISIANA","SHARK, MAKO, LONGFIN",6557,6523,"Gulf"
"212",1987,"LOUISIANA","SHARK, MAKO, SHORTFIN",18923,16564,"Gulf"
"213",1987,"LOUISIANA","SHARK, THRESHER",5305,3954,"Gulf"
"214",1987,"MAINE","SHARK, BLUE",1300,570,"New England"
"215",1987,"MAINE","SHARK, DOGFISH, SPINY",593500,71363,"New England"
"216",1987,"MAINE","SHARK, PORBEAGLE",23600,19617,"New England"
"217",1987,"MAINE","SHARK, THRESHER",300,308,"New England"
"218",1987,"MARYLAND","SHARK, DOGFISH, SMOOTH",68200,11695,"Middle Atlantic"
"219",1987,"MARYLAND","SHARK, DOGFISH, SPINY",7600,608,"Middle Atlantic"
"220",1987,"MASSACHUSETTS","SHARK, DOGFISH, SMOOTH",100,15,"New England"
"221",1987,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",5148000,334653,"New England"
"222",1987,"MASSACHUSETTS","SHARK, PORBEAGLE",3600,3905,"New England"
"223",1987,"NEW JERSEY","SHARK, BLACKTIP",1600,1129,"Middle Atlantic"
"224",1987,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",400,45,"Middle Atlantic"
"225",1987,"NEW JERSEY","SHARK, DOGFISH, SPINY",300,57,"Middle Atlantic"
"226",1987,"NEW JERSEY","SHARK, THRESHER",3800,2811,"Middle Atlantic"
"227",1987,"NEW YORK","SHARK, THRESHER",700,360,"Great Lakes"
"228",1987,"NORTH CAROLINA","SHARK, MAKO, SHORTFIN",984,984,"South Atlantic"
"229",1987,"OREGON","SHARK, DOGFISH, SPINY",225,70,"Pacific Coast"
"230",1987,"OREGON","SHARK, THRESHER",203328,155364,"Pacific Coast"
"231",1987,"OREGON","SHARK, TOPE",17743,12398,"Pacific Coast"
"232",1987,"RHODE ISLAND","SHARK, BLUE",4000,592,"New England"
"233",1987,"RHODE ISLAND","SHARK, DOGFISH, SMOOTH",600,1004,"New England"
"234",1987,"RHODE ISLAND","SHARK, DOGFISH, SPINY",7200,1428,"New England"
"235",1987,"RHODE ISLAND","SHARK, DUSKY",100,12,"New England"
"236",1987,"RHODE ISLAND","SHARK, MAKO, SHORTFIN",14100,18562,"New England"
"237",1987,"RHODE ISLAND","SHARK, PORBEAGLE",100,79,"New England"
"238",1987,"RHODE ISLAND","SHARK, SANDBAR",900,83,"New England"
"239",1987,"TEXAS","SHARK, MAKO, SHORTFIN",6436,6950,"Gulf"
"240",1987,"VIRGINIA","SHARK, DOGFISH, SMOOTH",2100,468,"Middle Atlantic"
"241",1987,"VIRGINIA","SHARK, DOGFISH, SPINY",1500,309,"Middle Atlantic"
"242",1987,"WASHINGTON","SHARK, BLUE",497,419,"Pacific Coast"
"243",1987,"WASHINGTON","SHARK, DOGFISH, SPINY",3451405,448060,"Pacific Coast"
"244",1987,"WASHINGTON","SHARK, THRESHER",143174,215560,"Pacific Coast"
"245",1987,"WASHINGTON","SHARK, TOPE",8690,6112,"Pacific Coast"
"246",1988,"ALABAMA","SHARK, BLACKTIP",2834,1372,"Gulf"
"247",1988,"ALASKA","SHARK, DOGFISH, SPINY",41870,3626,"Alaska"
"248",1988,"CALIFORNIA","SHARK, BLUE",6962,2112,"Pacific Coast"
"249",1988,"CALIFORNIA","SHARK, DOGFISH, SPINY",3773,708,"Pacific Coast"
"250",1988,"CALIFORNIA","SHARK, LEOPARD",41904,36571,"Pacific Coast"
"251",1988,"CALIFORNIA","SHARK, MAKO, SHORTFIN",709179,649626,"Pacific Coast"
"252",1988,"CALIFORNIA","SHARK, PACIFIC ANGEL",982696,308092,"Pacific Coast"
"253",1988,"CALIFORNIA","SHARK, THRESHER",912961,822031,"Pacific Coast"
"254",1988,"CALIFORNIA","SHARK, THRESHER, BIGEYE",20455,9764,"Pacific Coast"
"255",1988,"CALIFORNIA","SHARK, TOPE",140890,129256,"Pacific Coast"
"256",1988,"CONNECTICUT","SHARK, MAKO, SHORTFIN",400,500,"New England"
"257",1988,"LOUISIANA","SHARK, BLACKTIP",316048,99966,"Gulf"
"258",1988,"LOUISIANA","SHARK, MAKO, LONGFIN",8080,8080,"Gulf"
"259",1988,"LOUISIANA","SHARK, MAKO, SHORTFIN",77403,55925,"Gulf"
"260",1988,"LOUISIANA","SHARK, THRESHER",28600,11012,"Gulf"
"261",1988,"LOUISIANA","SHARK, THRESHER, BIGEYE",8647,3479,"Gulf"
"262",1988,"MAINE","SHARK, BLUE",200,175,"New England"
"263",1988,"MAINE","SHARK, DOGFISH, SPINY",465400,58834,"New England"
"264",1988,"MAINE","SHARK, PORBEAGLE",47600,32294,"New England"
"265",1988,"MAINE","SHARK, THRESHER",200,49,"New England"
"266",1988,"MARYLAND","SHARK, DUSKY",2300,961,"Middle Atlantic"
"267",1988,"MARYLAND","SHARK, MAKO, LONGFIN",1000,445,"Middle Atlantic"
"268",1988,"MARYLAND","SHARK, SAND TIGER",200,56,"Middle Atlantic"
"269",1988,"MARYLAND","SHARK, THRESHER",900,485,"Middle Atlantic"
"270",1988,"MARYLAND","SHARK, THRESHER, BIGEYE",1500,553,"Middle Atlantic"
"271",1988,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",2702100,137832,"New England"
"272",1988,"MASSACHUSETTS","SHARK, MAKO, SHORTFIN",200,22,"New England"
"273",1988,"MASSACHUSETTS","SHARK, PORBEAGLE",300,61,"New England"
"274",1988,"NEW HAMPSHIRE","SHARK, DOGFISH, SPINY",500,23,"New England"
"275",1988,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",900,185,"Middle Atlantic"
"276",1988,"NEW JERSEY","SHARK, DOGFISH, SPINY",3700,456,"Middle Atlantic"
"277",1988,"NEW JERSEY","SHARK, MAKO, LONGFIN",200,151,"Middle Atlantic"
"278",1988,"NEW JERSEY","SHARK, PORBEAGLE",100,53,"Middle Atlantic"
"279",1988,"NEW JERSEY","SHARK, THRESHER",37000,28000,"Middle Atlantic"
"280",1988,"NEW YORK","SHARK, DOGFISH, SPINY",100,23,"Great Lakes"
"281",1988,"NEW YORK","SHARK, PORBEAGLE",16800,29146,"Great Lakes"
"282",1988,"NEW YORK","SHARK, THRESHER",4100,1752,"Great Lakes"
"283",1988,"NORTH CAROLINA","SHARK, MAKO, SHORTFIN",18664,18571,"South Atlantic"
"284",1988,"NORTH CAROLINA","SHARK, THRESHER",8391,1854,"South Atlantic"
"285",1988,"OREGON","SHARK, DOGFISH, SPINY",1110,207,"Pacific Coast"
"286",1988,"OREGON","SHARK, THRESHER",177630,135202,"Pacific Coast"
"287",1988,"OREGON","SHARK, TOPE",3029,2724,"Pacific Coast"
"288",1988,"RHODE ISLAND","SHARK, BLUE",1300,186,"New England"
"289",1988,"RHODE ISLAND","SHARK, MAKO, SHORTFIN",4200,4607,"New England"
"290",1988,"RHODE ISLAND","SHARK, PORBEAGLE",5400,3956,"New England"
"291",1988,"RHODE ISLAND","SHARK, SANDBAR",4800,394,"New England"
"292",1988,"TEXAS","SHARK, BLACKTIP",6102,2256,"Gulf"
"293",1988,"TEXAS","SHARK, MAKO, LONGFIN",15134,16971,"Gulf"
"294",1988,"TEXAS","SHARK, THRESHER",2167,1069,"Gulf"
"295",1988,"VIRGINIA","SHARK, BLACKTIP",100,62,"Middle Atlantic"
"296",1988,"VIRGINIA","SHARK, BLUE",100,27,"Middle Atlantic"
"297",1988,"VIRGINIA","SHARK, DOGFISH, SMOOTH",700,73,"Middle Atlantic"
"298",1988,"VIRGINIA","SHARK, SAND TIGER",100,8,"Middle Atlantic"
"299",1988,"VIRGINIA","SHARK, THRESHER",7600,3960,"Middle Atlantic"
"300",1988,"WASHINGTON","SHARK, BLUE",123,49,"Pacific Coast"
"301",1988,"WASHINGTON","SHARK, DOGFISH, SPINY",3463350,460828,"Pacific Coast"
"302",1988,"WASHINGTON","SHARK, THRESHER",14105,23494,"Pacific Coast"
"303",1988,"WASHINGTON","SHARK, TOPE",3000,2454,"Pacific Coast"
"304",1989,"ALABAMA","SHARK, BLACKTIP",3385,1679,"Gulf"
"305",1989,"ALASKA","SHARK, DOGFISH, SPINY",11112,2101,"Alaska"
"306",1989,"CALIFORNIA","SHARK, BLUE",13524,3466,"Pacific Coast"
"307",1989,"CALIFORNIA","SHARK, DOGFISH, SPINY",3569,1151,"Pacific Coast"
"308",1989,"CALIFORNIA","SHARK, LEOPARD",51310,40610,"Pacific Coast"
"309",1989,"CALIFORNIA","SHARK, MAKO, SHORTFIN",562996,552502,"Pacific Coast"
"310",1989,"CALIFORNIA","SHARK, PACIFIC ANGEL",537762,166747,"Pacific Coast"
"311",1989,"CALIFORNIA","SHARK, THRESHER",1105129,935914,"Pacific Coast"
"312",1989,"CALIFORNIA","SHARK, THRESHER, BIGEYE",37559,24711,"Pacific Coast"
"313",1989,"CALIFORNIA","SHARK, TOPE",167719,138796,"Pacific Coast"
"314",1989,"CONNECTICUT","SHARK, MAKO, SHORTFIN",100,125,"New England"
"315",1989,"LOUISIANA","SHARK, BLACKTIP",117206,36169,"Gulf"
"316",1989,"LOUISIANA","SHARK, MAKO, LONGFIN",11269,10030,"Gulf"
"317",1989,"LOUISIANA","SHARK, MAKO, SHORTFIN",26298,19459,"Gulf"
"318",1989,"LOUISIANA","SHARK, PORBEAGLE",1551,521,"Gulf"
"319",1989,"LOUISIANA","SHARK, THRESHER",105919,36718,"Gulf"
